MES,FECHA VENTA,LÍNEA DE NEGOCIO,SUBCATEGORÍA 1,SUBCATEGORÍA 2,CANTIDAD,SUBTOTAL,TOTAL,COSTO 1,COSTO 2,COSTO 3,COSTO 4,COSTO 5,COSTO 6,COSTO 7,COSTO 8,COSTO 9,COSTO 10,COSTO 11,COSTO 12,COSTO 13,COSTO 14,COSTO 15,COSTO 16,COSTO 17,COSTO 18,COSTO 19,COSTO 20,COSTO 21,COSTO 22,COSTO 23,COSTO 24,COSTO 25,COSTO 26,COSTO 27,COSTO 28,COSTO 29,COSTO 30,COSTO 31,COSTO 32,COSTO 33,COSTO 34,COSTO 35,COSTO 36,COSTO 37,COSTO 38,COSTO 39,COSTO 40,COSTO 41,COSTO 42,COSTO 43,COSTO 44,COSTO 45,COSTO 46,COSTO 47,COSTO 48,COSTO 49,COSTO 50,COSTO TOTAL SIN IVA,COSTO TOTAL DEL SERVICIO,UTILIDAD BRUTA,MARGEN BRUTO,COL ESPECIAL 1,COL ESPECIAL 2,COL ESPECIAL 3,COL ESPECIAL 4,COL ESPECIAL 5,COL ESPECIAL 6
ENERO 2026,,ANT,Alimentos,YAKIMESHI MIXTO,959,"$152,135.84","$176,477.57","$36,783.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,783.88","$42,669.30","$115,351.96",$0.76,CALIENTE,CALIENTE,Alimentos,,,
ENERO 2026,,ANT,Alimentos,LOBSTER ROLL,458,"$107,989.65","$125,267.99","$50,819.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,819.88","$58,951.06","$57,169.77",$0.53,MAKIS,MAKIS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,CRISPY TUNA,512,"$103,055.61","$119,544.51","$36,479.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,479.93","$42,316.72","$66,575.68",$0.65,MAKIS,FRITOS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,CAMARONES ROCA,560,"$93,763.05","$108,765.14","$27,817.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,817.66","$32,268.49","$65,945.39",$0.70,FRITOS,SUG ENTRADAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,GYOZAS SHORT RIB,389,"$81,451.95","$94,484.26","$33,533.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,533.39","$38,898.73","$47,918.56",$0.59,SUG ENTRADAS,ENTRADAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,ROLLO RIB EYE TERIYAKI,399,"$77,066.37","$89,396.99","$45,924.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,924.88","$53,272.86","$31,141.49",$0.40,ENTRADAS,DONBURI,Alimentos,,,
ENERO 2026,,ANT,Bebidas,TOPO CHICO,"1,238","$68,916.44","$79,943.07","$23,575.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,575.36","$27,347.42","$45,341.08",$0.66,BEBIDAS,NIGIRI,Alimentos,,,
ENERO 2026,,ANT,Alimentos,TACASHI MAKI,310,"$64,106.90","$74,364.00","$16,075.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,075.05","$18,647.06","$48,031.85",$0.75,MAKIS,SOPAS,Alimentos,,,
ENERO 2026,,ANT,Alimentos,OSHINKO MAKI,287,"$62,804.74","$72,853.50","$19,073.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,073.46","$22,125.22","$43,731.28",$0.70,MAKIS,POSTRES,Alimentos,,,
ENERO 2026,,ANT,Alimentos,DONBURI,298,"$54,870.09","$63,649.30","$2,411.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,411.37","$2,797.19","$52,458.72",$0.96,DONBURI,ESPECIALES ANTEA,Alimentos,,,
